1996, A11,  Int.J.Mod.Phys., Ardalan & Kaviani,  Chiral Perturbation Theory in the Framework of Non-Commutative Geometry
1995, B345,  Phys. Lett., Llatas & Roy,  $c_M<1$ String Theory as a Constrained Topological Sigma Model
1995, B435,  Nucl.Phys., Hansson & Tzani,  The Heavy Quark Potential in Two-Dimentional QCD with Adjoint Matter
1995, A28,  J.Phys., Lisi,  A Solution of the Maxwell-Dirac Equations in 3+1 Dimensions
1995, D51,  Phys.Rev., Koranda,  CBR Temperature Fluctuations Induced by Gravitational Waves in a  Spatially-Closed Inflationary Universe
1995, D51,  Phys.Rev., Hartle & Laflamme & Marolf,  Conservation Laws in the Quantum Mechanics of Closed Systems
1995, A199,  Phys.Lett., Giulini & Kiefer & Zeh,  Symmetries, superselection rules, and decoherence
1995, A10,  Mod.Phys.Lett., Giulini,  Asymptotic Symmetry Groups of Long-Ranged Gauge Configurations
1995, D51,  Phys.Rev., Ford & Roman,  Averaged Energy Conditions and Quantum Inequalities
1995, D51,  Phys.Rev., Ford,  Gravitons and Lightcone Fluctuations
1995, B52,  Phys. Rev., Asorey & Esteve & Falceto & Salas,  Tricritical Behavior of Two-Dimensional Scalar Field Theories
1995, B342,  Phys.Lett., Intriligator & Seiberg & Shenker,  Proposal for a Simple Model of Dynamical SUSY Breaking
1995, B342,  Phys.Lett., Siopsis,  Particle Hamiltonian and Perturbative Gauge Theories
1995, B439,  Nucl.Phys., Piette & Schroers & Zakrzewski,  Dynamics of Baby Skyrmions
1995, B440,  Nucl.Phys., Denner & Dittmaier & Weiglein,  Application of the Background-Field Method to the electroweak Standard  Model
1995, D51,  Phys.Rev., Farhi & Goldstone & Gutmann & Rajagopal & Singleton,  Fermion Production in the Background of Minkowski Space Classical  Solutions in Spontaneously Broken Gauge Theory
1995, A10,  Mod.Phys.Lett., Roy & Singh,  Causal quantum mechanics treating position and momentum symmetrically
1995, B446,  Nucl.Phys., Gould & Hsu,  Anomalous Violation of Conservation Laws in Minkowski Space
1995, B449,  Nucl. Phys., Lechtenfeld & Samuel,  Four-Dimensional Twisted Group Lattices
1995, A10,  Mod.Phys.Lett., Klimcik & Severa,  Strings in Spacetime Cotangent Bundle and T-duality
1996, A11,  Int. J. Mod. Phys., Warnaar & Pearce,  A-D-E Polynomial and Rogers--Ramanujan Identities
1995, B343,  Phys.Lett., Antoniadis & Odintsov,  Renormalization group and logarithmic corrections to scaling relations  in conformal sector of 4D gravity
1995, B345,  Phys.Lett., Jonsson & Wheater,  The phase diagram of an Ising model on a polymerized random surface
1995, D51,  Phys.Rev., Hamada,  Recursion Relations in Liouville Gravity coupled to Ising Model  satisfying Fusion Rules
1995, B440,  Nucl. Phys., Pasquinucci & Roland,  On the computation of one-loop amplitudes with external fermions in 4d  heterotic superstrings
1995, D51,  Phys.Rev., Hands,  O(1/N_f) Corrections to the Thirring Model in 2<d<4
1995, A10,  Mod. Phys. Lett., Periwal,  Free energy decreases along Wilson renormalization group trajectories
1995, B451,  Nucl.Phys., Gopakumar & Gross,  Mastering the Master Field
1995, D51,  Phys.Rev., Brax & Chemtob,  Flavor changing neutral current constraints on standard-like orbifold  models
1996, N3,  Phys.Atom.Nucl., V\. & P\. & A,  Pseudoclassical and quantum theory of the D=2n dimensional relativistic  spinning particle with anomalous ``magnetic'' moment in the external  Yang-Mills field
1995, A10,  Mod. Phys. Lett., Elizalde & Odintsov,  Non-Critical Bosonic String Corrections to the Black Hole Entropy
1995, B344,  Phys. Lett., Douglas,  Stochastic Master Fields
1995, A10,  Mod. Phys. Lett., West,  Physical States and String Symmetries
1995, B343,  Phys. Lett., Martin & Ruiz,  Higher covariant derivative regulators and non-multiplicative  renormalization
1995, B443,  Nucl. Phys., Varnhagen,  Topology and Fractional Quantum Hall Effect
1995, B342,  Phys. Lett., Danilov,  2d gravity stress tensor and the problem of the calculation of the  multi-loop amplitudes in the string theory
1995, N1,  Theor.Math.Phys., Ferreira & Olive & Saveliev,  Orthogonal Decomposition of Some Affine Lie Algebras in Terms of their  Heisenberg Subalgebras
1995, B441,  Nucl.Phys., Bergman & Zwiebach,  The Dilaton Theorem and Closed String Backgrounds
1995, B344,  Phys.Lett., Klemm & Lerche & Theisen & Yankielowicz,  Simple Singularities and N=2 Supersymmetric Yang-Mills Theory
1995, B439,  Nucl. Phys., Anselmi,  Anomalies in Instanton Calculus
1995, B443,  Nucl. Phys., Iso,  Anyon Basis of c=1 Conformal Field Theory
1995, B347,  Phys. Lett., Awata & Matsuo & Odake & Shiraishi,  Collective fields, Calogero-Sutherland model and generalized matrix  models
1994, C5,  Int.J.Mod.Phys., Burnel & Caprasse & Dresse,  Computing the BRST Operator Used in Quantization of Gauge Theories
1995, B349,  Phys. Lett., Bruegmann & Marinari,  More on the exponential bound of four dimensional simplicial quantum  gravity
1995, D51,  Phys.Rev., Das & Majumdar,  Electromagnetic and Gravitational Scattering at Planckian Energies
1995, B348,  Phys.Lett., Chen & Dunne & Haller & Lim-Lombridas,  Integer Quantization of the Chern-Simons Coefficient in a Broken Phase
1995, A52,  Phys.Rev., Fujikawa,  Phase Operator for the Photon Field and an Index Theorem
1996, A11,  Mod.Phys.Lett., Karakhanyan & Manvelyan & Mkrtchyan,  Trace Anomalies and Cocycles of Weyl and Diffeomorphisms Groups
1995, A10,  Mod. Phys. Lett., Aoyama & Harano,  Complex-time approach for semi-classical quantum tunneling
1995, A28,  J.Phys., Bresser,  All bicovariant differential calculi on Glq(3,C) and SLq(3,C)
1995, B345,  Phys. Lett., Gates & Rana,  Manifest (4,0) Supersymmetry, Sigma Models and The ADHM Instaton  Construction
1995, D51,  Phys.Rev., Choi & Shim & Song,  Factorization and polarization in linearized gravity
1995, A10,  Int.J.Mod.Phys., Bergshoeff & Vasiliev,  The Calogero Model and the Virasoro Symmetry
1996, N12,  Phys.Atom.Nucl., Tsokur & Zinoviev,  Spontaneous supersymmetry breaking in N=3 supergravity with matter
1995, B447,  Nucl.Phys., Lu & Pope,  BRST Quantisation of the N=2 String in a Real Spacetime Structure
1996, N12,  Phys.Atom.Nucl., Tsokur & Zinoviev,  Spontaneous supersymmetry breaking in N = 4 supergravity with matter.
1995, D52,  Phys.Rev., Navarro-Salas & Navarro & Talavera,  Diffeomorphisms, Noether Charges and Canonical Formalism in 2D Dilaton  Gravity
1995, A28,  J.Phys., Abdesselam & Arnaudon & Chakrabarti,  Representations of $SO(5)_{q}$ and Non-Minimal $q$-Deformation
1995, B443,  Nucl.Phys., Narayanan & Neuberger,  A construction of lattice chiral gauge theories
1995, D51,  Phys.Rev., Ford & Svaiter,  One-Loop Renormalization of a Self-Interacting Scalar Field in Nonsimply  Connected Spacetimes
1995, B345,  Phys.Lett., Linde & Linde & Mezhlumian,  Do We Live in the Center of the World?
1995, B441,  Nucl.Phys., Jimbo & Kedem & Kojima & Konno & Miwa,  XXZ chain with a boundary
1995, B343,  Phys. Lett., Dalmazi & Dutra,  Free Relativistic Anyons with Canonical Spin Algebra
1994, N3,  Theor.Math.Phys., Martina & Pashaev & Soliani,  Chern-Simons Quantum Field Representation of Planar Ferromagnets
1995, B351,  Phys.Lett., de Azcarraga & Kulish & Rodenas,  On the physical contents of q-deformed Minkowski spaces
1995, B347,  Phys.Lett., Ball & Haagensen & Latorre & Moreno,  Scheme Independence and the Exact Renormalization Group
1995, B345,  Phys.Lett., Dunne,  Mass Degeneracies In Self-Dual Models
1995, B348,  Phys.Lett., Das & Majumdar,  Shock Wave Mixing in Einstein and Dilaton Gravity
1995, B437,  Nucl.Phys., Brandt & Frenkel & Taylor,  High-temperature QCD and the classical Boltzmann equation in curved  spacetime
1995, A10,  Int. J. Mod. Phys., Berglund & Hubsch,  On a Residue Representation of Deformation, Koszul and Chiral Rings
1995, D51,  Phys.Rev., Aoki & Levien,  Kaplan-Narayanan-Neuberger lattice fermions pass a perturbative test
1995, B347,  Phys. Lett., Paunov,  Dressing Transformations and the Algebraic--Geometrical Solutions in the  Conformal Affine $sl(2)$ Toda Model
1995, A28,  J.Phys., Grigore,  Varational Equations and Symmetries in the Lagrangian Formalism
1995, D51,  Phys.Rev., Naculich & Riggs,  The String Calculation of QCD Wilson Loops on Arbitrary Surfaces
1996, A11,  Mod.Phys.Lett., Guruswamy & Vitale,  Correlation Functions of a Conformal Field Theory in Three Dimensions
1994, A9,  Mod.Phys.Lett., Kashaev,  Quantum Dilogarithm as a 6j-Symbol
1995, B435,  Nucl.Phys., Seiberg,  Electric-Magnetic Duality in Supersymmetric Non-Abelian Gauge Theories
1995, B342,  Phys. Lett., McArthur,  The Berkovits-Vafa Construction and Nonlinear Realizations
1995, A10,  Mod. Phys. Lett., Andrade,  Some Properties of Charge-Conjugated Spinors in $D$ dimensions
1995, B348,  Phys. Lett., Bastianelli & Ohta,  Note on W3 Realizations of the Bosonic String
1995, A10,  Int.J.Mod.Phys., Ezawa,  "Moduli Space" of Asymptotically Anti-de Sitter Spacetimes in  (2+1)-Dimensions
1995, B347,  Phys.Lett., Bellucci & Krivonos & Sorin,  Linearizing $W_{2,4}$ and $WB_2$ Algebras
1995, B441,  Nucl.Phys., MacKay & Watts,  Quantum mass corrections for affine Toda solitons
1995, D51,  Phys.Rev., Cvetic & Soleng,  Naked singularities in dilatonic domain wall space-times
1995, B441,  Nucl.Phys., Delius & Grisaru,  Toda Soliton Mass Corrections and the Particle--Soliton Duality  Conjecture
1995, A10,  Int.J.Mod.Phys., Marino,  A New Quantum Vortex Operator and Its Correlation Functions
1996, A11,  Int.J.Mod.Phys., Frolov & Slavnov & Sochichiu,  Canonical quantization of the degenerate WZ action including chiral  interaction with gauge fields
1995, B440,  Nucl.Phys., Sen,  Black Hole Solutions in Heterotic String Theory on a Torus
1995, B440,  Nucl.Phys., Soloviev,  Relevant Perturbations of the SU(1,1)/U(1) Coset
1995, B442,  Nucl.Phys., Burgess & Myers & Quevedo,  Duality and Four-Dimensional Black Holes
1995, B346,  Phys.Lett., Tseytlin,  Melvin solution in string theory
1995, A28,  J.Phys., Jagannathan & Jeugt\.,  Finite dimensional representations of the quantum group $GL_{p,q}(2)$  using the exponential map from $U_{p,q}(gl(2))$.
1995, B346,  Phys. Lett., Barnich & Brandt & Henneaux,  Conserved currents and gauge invariance in Yang-Mills theory
1995, B348,  Phys. Lett., Gliozzi & Tateo,  ADE functional dilogarithm identities and integrable models
1995, B348,  Phys. Lett., Antonuccio & Dalley,  c>1 Non-Critical Strings and Large-N Matrix Field Theory
1995, B347,  Phys. Lett., Anselmi & Fre',  Gauged Hyperinstantons and Monopole Equations
1995, A28,  J.Phys., Bougourzi,  N-point matrix elements of dynamical vertex operators of the higher spin  XXZ model
1995, A28,  J.Phys., Shtykov & Vassilevich,  The heat kernel for deformed spheres
1995, B347,  Phys. Lett., Elizalde & Leseduarte & Odintsov,  Higher Derivative Four-Fermion Model in Curved Spacetime
1995, B437,  Nucl.Phys., Kraus & Wilczek,  Effect of Self-Interaction on Charged Black Hole Radiance
1994, A9,  Mod.Phys.Lett., Lamb & Capri & Roy,  Massive particle creation in a static 1+1 dimensional spacetime
1995, A10,  Int.J.Mod.Phys., Eijck & O'Connor & Stephens,  Critical Temperature and Amplitude Ratios from a Finite-Temperature  Renormalization Group
1995, B349,  Phys.Lett., Hooft,  Lattice Regularization of Gauge Theories Without Loss of Chiral Symmetry
1995, B439,  Nucl. Phys., Bassetto & Griguolo,  The generalized chiral Schwinger model on the two-sphere
1995, A10,  Mod.Phys.Lett., Nakazawa,  On Field Theories of Loops
1996, D53,  Phys.Rev., Khoudeir & Pantoja,  Covariant Duality Symmetric Actions
1994, A9,  Mod.Phys.Lett., Lamb & Capri & Kobayashi,  Discrete spectral shift in an anisotropic universe
1995, D52,  Phys.Rev., Munczek,  Dynamical Chiral Symmetry Breaking, Goldstone's Theorem and the  Consistency of the Schwinger--Dyson and Bethe--Salpeter Equations
1995, A28,  J.Phys., Delius & Gould & Links & Zhang,  Solutions of the Yang-Baxter Equation with Extra Non-Additive Parameters
1995, B348,  Phys. Lett., Tyurin,  On Conformal Properties of the Dualized Sigma-Models
1995, B438,  Nucl.Phys., Kobdaj & Thomas,  Large Screening in Two Dimensional Nonabelian Vortex Systems
1995, A28,  J.Phys., Arndt & Heinzel & Yung,  Temperley-Lieb Words as Valence-Bond Ground States
1995, B344,  Phys.Lett., de Alwis & MacIntire,  Lessons of Quantum 2D Dilaton Gravity
1995, L43,  Class.Quant.Grav., Torre,  Some Remarks on Gravitational Analogs of Magnetic Charge
1995, D51,  Phys.Rev., Louko & Whiting,  Hamiltonian thermodynamics of the Schwarzschild black hole
1995, D51,  Phys.Rev., Mizoguchi,  The Geroch group in the Ashtekar formulation
1995, D51,  Phys.Rev., Carlip & Nelson,  Comparative Quantizations of (2+1)-Dimensional Gravity
1996, L1,  Class.Quant.Grav., Grant,  Lsdiff M and the Einstein Equations
1995, B348,  Phys.Lett., Vassilevich,  Heat kernel for antisymmetric tensor field on a disk
1995, B349,  Phys.Lett., Marolf,  Diffeomorphism Invariant Actions for Partial Systems
1995, D4,  Int.J.Mod.Phys., Cavaglia` & de Alfaro & Filippov,  Hamiltonian Formalism for Black Holes and Quantization
1995, D52,  Phys.Rev., Anglin & Laflamme & Zurek & Paz,  Decoherence, Re-coherence, and the Black Hole Information Paradox
1995, B345,  Phys.Lett., Ambjorn & Jurkiewicz,  Computational Ergodicity of $s^4$
1995, B346,  Phys.Lett., Pernici,  Chiral invariance and lattice fermions with minimal doubling
1995, B439,  Nucl.Phys., Ambjorn & Thorleifsson & Wexler,  New critical phenomena in 2d quantum gravity
1995, D52,  Phys.Rev., Frick & Jersak,  Dynamical fermion mass generation by strong gauge interaction shielded  by a scalar field
1995, D52,  Phys.Rev., Bucher & Goldhaber & Turok,  An Open Universe from Inflation
1995, D51,  Phys.Rev., Dashen & Jenkins & Manohar,  Spin-Flavor Structure of Large N Baryons
1996, D54,  Phys.Rev., Tinyakov & Mottola & Habib,  Finite Energy Instantons in the O(3) Non-Linear Sigma Model
1995, B438,  Nucl.Phys., Garriga & Vachaspati,  Zero Modes on Linked Strings
1995, B347,  Phys.Lett., Brax & Ellwanger & Savoy,  Supersymmetric Models with a Gauge Singlet and Non-Universal Soft Terms  from Orbifold String Theory
1995, D52,  Phys.Rev., Carter & Peter,  Supersonic String Model for Witten Vortices
1995, B447,  Nucl.Phys., Louis & Nir,  Some Phenomenological Implications of String Loop Effects
1995, D51,  Phys.Rev., Nieves & Pal,  Thermal Self-Energies at Zero Momentum
1995, B439,  Nucl.Phys., Julia & Nicolai,  Null Killing Vector Dimensional Reduction and Galilean Geometrodynamics
1995, B445,  Nucl.Phys., Lambert,  Topological Massive Sigma Models
1995, N3,  Theor.Math.Phys., Holod & Pakuliak,  Dressing Technique for Intermediate Hierarchies
1995, A10,  Int. J. Mod. Phys., Cima & de Carvalho,  Some Quantum Aspects of Complex Vector Fields with Chern-Simons Term
1995, D52,  Phys.Rev., Siegel,  Super Multi-Instantons in Conformal Chiral Superspace
1995, D51,  Phys.Rev., Kumar & Ray,  Entropy of Extremal Black Holes in Two Dimensions
1998, A13,  Int.J.Mod.Phys., Itzhaki,  Some Interesting Properties of Field theories with an Infinite Number of  Fields
1995, A10,  Mod.Phys.Lett., Aizawa & Sachse & Sato,  Laughlin states on the sphere as representations of Uq(sl(2))
1995, B443,  Nucl.Phys., Wipf & Duerr,  Gauge Theories in a Bag
1995, A10,  Int.J.Mod.Phys., Ishikawa & Iwama & Miyazaki & Yamanobe,  Interacting open p-branes
1996, B365,  Phys.Lett., Fursaev & Solodukhin,  On one-loop renormalization of black-hole entropy
1996, C69,  Z.Phys., Boguszynski & Dahmen & Kretschmer & Lukaszuk & Latex & 94-15,  Collinear Asymptotic Dynamics for Massive Particles. Reggeization and  Eikonalization
1995, D52,  Phys.Rev., Banerjee & Ghosh,  Interacting anyons and the Darwin Lagrangian
1995, A10,  Int.J.Mod.Phys., Mukherjee,  2d Gravity Coupled to Topological Minimal Models
1995, A10,  Int.J.Mod.Phys., Kar & Maharana,  Planckian Scattering of Non-abelian Gauge Particles
1995, A10,  Mod.Phys.Lett., Khorrami & Shariati & Abolhassani & Aghamohammadi,  A Triangular Deformation of the two Dimensional Poincare Algebra
1995, B452,  Nucl. Phys., Galperin & Sokatchev,  Manifest supersymmetry and the ADHM construction of instantons
1995, A10,  Mod. Phys. Lett., Kreuzer & Skarke,  Landau-Ginzburg orbifolds with discrete torsion
1995, B446,  Nucl.Phys., Lee & Urosevic,  Perturbative Calculations in the Effective Lagrangian and $2D$ Closed  String Field Theory
1995, A28,  J.Phys., Grabowski & Mathieu,  Integrability Test for Spin Chains
1995, A10,  Int. J. Mod. Phys., Oehme,  Analytic Structure of Amplitudes in Gauge Theories with Confinement
1995, A10,  Mod.Phys.Lett., Lamb & Capri & Kobayashi,  Finite particle creation in 3+1 de Sitter space
1995, D51,  Phys.Rev., Song,  S matrix of collective field theory
1995, A28,  J.Phys., Fewster,  Generalised Point Interactions for the Radial Schrodinger Equation via  Unitary Dilations
1995, B347,  Phys. Lett., D'Hoker & Sikivie & Kanev,  Casimir Forces between Beads on Strings and Membranes
1995, B445,  Nucl. Phys., Hollowood & Miramontes & Park,  Massive Integrable Soliton Theories
1995, A10,  Mod.Phys.Lett., Smirnov,  Asymptotic Expansions in Momenta and Masses and Calculation of Feynman  Diagrams
1995, C67,  Z.Phys., Smirnov,  Differential Renormalization, the Action Principle and Renormalization  Group Calculations
1995, D52,  Phys.Rev., Sfetsos,  Stochastic Tachyon Fluctuations, Marginal Deformations and Shock Waves  in String Theory
1995, B52,  Phys.Rev., Fraga & Carvalho,  Thermal Decays in a Hot Fermi Gas
1997, C76,  Z.Phys., Kirsten & Kubyshin,  Amplification of the scattering cross section due to non-trivial  topology of the spacetime
1995, D51,  Phys.Rev., Poletti & Twamley & Wiltshire,  Charged Dilaton Black Holes with a Cosmological Constant
1996, B388,  Phys.Lett., Schimmrigk,  Scaling Behavior in String Theory
1995, B457,  Nucl.Phys., Govindarajan,  Higher dimensional uniformisation and W-geometry
1995, A10,  Int. J. Mod. Phys., Gaido & Lust,  Gaugino Condensation in the Chiral and Linear Representation of the  Dilaton
1996, A29,  J.Phys., Cicuta & Molinari & Montaldi & Stramaglia,  A Matrix Model for Random Surfaces with Dynamical Holes
1995, A10,  Mod.Phys.Lett., Ramadevi & Govindarajan & Kaul,  Representations of Composite Braids and Invariants for Mutant Knots and  Links in Chern-Simons Field Theories
1995, D52,  Phys.Rev., Kirschner & Szymanowski,  Effective Action for High-Energy Scattering in Gravity
1995, D51,  Phys.Rev., Francia & Falomir & Loewe & Santangelo,  Confined two-dimensional fermions at finite density
1995, B451,  Nucl.Phys., Hamber & Williams,  Discrete Gravity in One Dimension
1995, A28,  J.Phys., Li & Hu,  Solutions of n-simplex Equation from Solutions of Braid Group  Representation
1995, A10,  Int.J.Mod.Phys., Maggiore,  Off--shell formulation of N = 2 Super Yang--Mills theories coupled to  matter without auxiliary fields
1995, B446,  Nucl. Phys., Aoyama & Harano,  Complex-time path-integral formalism for quantum tunneling
1995, B448,  Nucl. Phys., Belopolsky,  Effective Tachyonic Potential in Closed String Field Theory
1995, B359,  Phys.Lett., Bouwknegt & Ludwig & Schoutens,  Spinon basis for higher level SU(2) WZW models
1996, N1,  Theor.Math.Phys., Zabrodin,  Quantum transfer matrices for discrete and continuous quasi-exactly  solvable problems
1995, B450,  Nucl. Phys., Candelas & Ossa & Katz,  Mirror Symmetry for Calabi-Yau Hypersurfaces in Weighted P_4 and  Extensions of Landau Ginzburg Theory
1995, B348,  Phys. Lett., Ikehara,  The Continuum Limit of the Schwinger-Dyson Equations of the One and Two  Matrix Model with Finite Loop Length
1995, B445,  Nucl. Phys., Cronstrom & Noga,  Multi-Hamiltonian Structure of Lotka-Volterra and Quantum Volterra  Models
1996, A11,  Int.J.Mod.Phys., Braune & Berlin,  Geometrical Properties of Conformal Field Theories Coupled to  Two-Dimensional Quantum Gravity
1995, B347,  Phys. Lett., Gaillard,  Pauli-Villars Regularization of Globally Supersymmetric Theories
1995, A28,  J.Phys., Gannon & Jakovljevic & Walton,  Lie group weight multiplicities from conformal field theory
1995, B449,  Nucl.Phys., Ferreira & Miramontes & Guillen,  Solitons, Tau-functions and Hamiltonian Reduction for Non-Abelian  Conformal Affine Toda Theories
1995, B348,  Phys. Lett., Buchbinder & Krykhtin & Pershin,  Massive fields dynamics in open bosonic string theory
1995, A10,  Mod. Phys. Lett., Mohammedi,  Fractional Supersymmetry
1996, A11,  Int.J.Mod.Phys., Nirov,  BRST formalism for systems with higher order derivatives of gauge  parameters
1995, B447,  Nucl. Phys., Ichinose & Satoh,  Entropies of Scalar Fields on Three Dimensional Black Holes
1995, B347,  Phys. Lett., Lavelle & McMullan,  Observables and Gauge Fixing in Spontaneously Broken Gauge Theories
1995, D51,  Phys.Rev., Garrahan & Kruczenski & Schat & Bes & Scoccola,  Becchi-Rouet-Stora-Tyutin quantization of a soliton model in 2+1  dimensions
1995, A10,  Int. J. Mod. Phys., Hartwell & Howe,  (N,p,q) Harmonic Superspace
1995, A10,  Mod.Phys.Lett., Kanemura & Sato,  Phase Diagram of Gross-Neveu Model at Finite Temperature, Density and  Constant Curvature
1995, B7,  Mod. Phys. Lett., Graffi & Manfredi & Salasnich,  Quantal Overlapping Resonance Criterion in the Pullen Edmonds Model
1995, B452,  Nucl.Phys., Aref'eva & Viswanathan & Volovich,  Planckian Energy Scattering, Colliding Plane Gravitational Waves and  Black Hole Creation
1995, D51,  Phys.Rev., Giddings,  Why Aren't Black Holes Infinitely Produced?
1995, D51,  Phys.Rev., Fursaev,  Temperature and Entropy of a Quantum Black Hole and Conformal Anomaly
1995, B348,  Phys.Lett., Behrndt,  The 10-D chiral null model and the relation to 4-D string solutions
1995, B443,  Nucl. Phys., Sezgin & Tanii,  Superconformal Sigma Models in Higher Than Two Dimensions
1996, N2,  Theor.Math.Phys., Frolov & Slavnov & Sochichiu,  SO(N) invariant Wess-Zumino action and its quantization
1995, B348,  Phys.Lett., Randjbar-Daemi & Strathdee,  On the overlap formulation of chiral gauge theory
1995, B440,  Nucl.Phys., Niedermaier,  An Algebraic Approach to Form Factors
1995, D52,  Phys.Rev., Kempf & Mangano & Mann,  Hilbert Space Representation of the Minimal Length Uncertainty Relation
1995, A10,  Mod. Phys. Lett., Chatterjee,  Exact Partition Function and Boundary State of Critical Ising Model with  Boundary Magnetic Field
1995, B446,  Nucl. Phys., Gomis & Pons & Zamora,  Wess-Zumino Terms for Reducible Anomalous Gauge Theories
1995, D51,  Phys.Rev., Chung & Nam & Park & Shin,  An Effective Action for Quasi-elastic Scatterings in QCD
1995, B350,  Phys.Lett., Berkovits,  Vanishing Theorems for the Self-Dual N=2 String
1995, D51,  Phys.Rev., Dziarmaga,  More on scattering of Chern-Simons vortices
1995, D52,  Phys.Rev., Floreanini & Percacci,  The renormalization group flow of the dilaton potential
1995, D51,  Phys.Rev., Rossi & Tan,  Simplicial Chiral Models
1995, B442,  Nucl.Phys., Nemeschansky & Warner,  The Refined Elliptic Genus and Coulomb Gas Formulations of $N=2$  Superconformal Coset Models
1995, B346,  Phys.Lett., Bonini & D'Attanasio & Marchesini,  BRS symmetry from renormalization group flow
1996, A11,  Int.J.Mod.Phys., Lechtenfeld & Samuel,  The Solution of the d-Dimensional Twisted Group Lattices
1995, B352,  Phys.Lett., Landsteiner & Lerche & Sevrin,  Topological Strings from WZW Models
1995, B348,  Phys. Lett., Douglas & Li,  Free Variables and the Two Matrix Model
1995, B351,  Phys. Lett., Mogami,  Temporal-gauge String Field with Open Strings
1995, B448,  Nucl. Phys., Asano & Itoi & Kojima,  Random Walk Construction of Spinor Fields on Three Dimensional Lattice
1994, D50,  Phys.Rev., Park & Park,  Operator Ordering Problem of the Nonrelativistic Chern-Simons Theory
1996, A11,  Int.J.Mod.Phys., Viet & Wali,  Noncommutative Geometry and a Discretized Version of Kaluza-Klein Theory  with a Finite Field Content
1996, B470,  Nucl.Phys., Hansson & Leinaas & Viefers,  Field theory of anyons in the lowest Landau level
1995, B352,  Phys. Lett., Gates & Jr,  Vector Multiplets and the Phases of N = 2 Theories in 2D Through the  Looking Glass
1996, A11,  Int.J.Mod.Phys., Jinzenji & Sun,  Calculation of Gromov-Witten invariants for $ CP^{3},CP^{4}$,and  $Gr(2,4)$
1995, B348,  Phys.Lett., Slavnov,  Generalized Pauli-Villars regularization for undoubled lattice fermions
1995, B348,  Phys. Lett., Maharana,  Four Dimensional String-String Solutions and Symmetries of String  Effective Action
1995, E52,  Phys. Rev. E52 1995) 4512-4515, Erratum-ibid., Dolan,  Chaotic Behaviour of Renormalisation Flow in a Complex Magnetic Field
1995, D51,  Phys.Rev., Campanelli & Lousto & Audretsch,  Perturbative Metric of Charged Black Holes in Quadratic Gravity
1995, D51,  Phys.Rev., Corichi & Pierri,  Gravity and Geometric Phases
1996, B461,  Nucl.Phys., Balachandran & Chandar & Momen,  Edge states in Gravity and Black Hole Physics
1995, D51,  Phys.Rev., Peleg & Steif,  Phase Transition for Gravitationally Collapsing Dust Shells in 2+1  Dimensions
1995, D52,  Phys.Rev., Costa & Matsas,  Background Thermal Contributions in Testing the Unruh Effect
1996, D53,  Phys.Rev., Lifschytz & Mathur & Ortiz,  A Note on the Semi-Classical Approximation in Quantum Gravity
1995, D51,  Phys.Rev., Martinez,  Microcanonical functional integral and entropy for eternal black holes
1995, D52,  Phys.Rev., Hayward,  Entropy in the RST Model
1995, D51,  Phys.Rev., Lee & Klomfass,  One Spin Trace Formalism for $ B_K $
1995, B348,  Phys.Lett., Narayanan & Neuberger,  Two dimensional twisted chiral fermions on the lattice
1995, B346,  Phys.Lett., Gibbons & Steif,  Sphalerons and Conformally Compactified Minkowski Spacetime
1995, B347,  Phys.Lett., Klein-Kreisler & Torres,  Parity Symmetry Restoration in Qed3 at High Temperature and Finite  Density
1995, B349,  Phys.Lett., Gusynin & Miransky & Shovkovy,  Dimensional Reduction and Dynamical Chiral Symmetry Breaking by a  Magnetic Field in $3+1$ Dimensions
1995, D51,  Phys.Rev., Holdom & Triantaphyllou,  Critical Behavior of a Four-Fermion Schwinger-Dyson Equation
1996, A11,  Int.J.Mod.Phys., Lopez & Nanopoulos,  String no-scale supergravity
1995, B348,  Phys.Lett., Ussyukina & Davydychev,  Two-loop three-point diagrams with irreducible numerators
1995, B455,  Nucl.Phys., Herrlich & Nierste,  Evanescent Operators, Scheme Dependences and Double Insertions
1995, B350,  Phys.Lett., Binetruy & Ramond,  Yukawa Textures and Anomalies
1995, D51,  Phys.Rev., Horva'th & Taka'cs,  Free field representation for the O(3) nonlinear sigma model and  bootstrap fusion
1996, A11,  Mod.Phys.Lett., Wegrzyn,  Strings with interacting ends
1996, A11,  Mod.Phys.Lett., Karkowski & Swierczynski & Wegrzyn,  Nambu-Goto string action with Gauss-Bonnet term
1995, D51,  Phys.Rev., Randjbar-Daemi & Strathdee,  Gravitational Lorentz anomaly from the overlap formula in 2-dimensions
1995, B455,  Nucl.Phys., Dotsenko & Picco & Pujol,  Renormalisation group calculation of correlation functions for the 2D  random bond Ising and Potts models
1995, A201,  Phys. Lett., Aratyn & Nissimov & Pacheva,  Darboux-Backlund Solutions of SL(p,q) KP-KdV Hierarchies, Constrained  Generalized Toda Lattices, and Two-Matrix String Model
1995, B442,  Nucl.Phys., Kiritsis & Kounnas,  Infrared Regularization of Superstring Theory and the One-Loop  Calculation of Coupling Constants
1995, D52,  Phys.Rev., Harvey & Moore & Strominger,  Reducing $S$- duality to $T$- duality
1996, A54,  Phys.Rev., Ahn & Lee & Nam,  Nonrelativistic Factorizable Scattering Theory of Multicomponent  Calogero-Sutherland Model
